"Catalog Price Rule","Catalog Price Rule"
"Add New Rule","Add New Rule"
"Apply Rules","Apply Rules"
"Save and Apply","Save and Apply"
"Save and Continue Edit","Save and Continue Edit"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Rule Information","Rule Information"
Actions,Actions
"Pricing Structure Rules","Pricing Structure Rules"
Apply,Apply
"Apply as percentage of original","Apply as percentage of original"
"Apply as fixed amount","Apply as fixed amount"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjust final price to discount value","Adjust final price to discount value"
"Discount Amount","Discount Amount"
"Subproduct discounts","Subproduct discounts"
No,No
Yes,Yes
"Discard subsequent rules","Discard subsequent rules"
Conditions,Conditions
"Conditions (don\'t add conditions if rule is applied to all products)","Conditions (don\'t add conditions if rule is applied to all products)"
"General Information","General Information"
"Rule Name","Rule Name"
Description,Description
Status,Status
Active,Active
Inactive,Inactive
Websites,Websites
"Customer Groups","Customer Groups"
From,From
To,To
Priority,Priority
ID,ID
Type,Type
"Attribute Set","Attribute Set"
SKU,SKU
Product,Product
Promotions,Promotions
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog."
"We can\'t apply the rules.","We can\'t apply the rules."
"You deleted the rule.","You deleted the rule."
"We can\'t delete this rule right now. Please review the log and try again.","We can\'t delete this rule right now. Please review the log and try again."
"We can\'t find a rule to delete.","We can\'t find a rule to delete."
"This rule no longer exists.","This rule no longer exists."
"New Catalog Price Rule","New Catalog Price Rule"
"Edit Rule","Edit Rule"
Catalog,Catalog
"Wrong rule specified.","Wrong rule specified."
"You saved the rule.","You saved the rule."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
Promo,Promo
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"We can\'t rebuild the index for an undefined product.","We can\'t rebuild the index for an undefined product."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Updated rules applied.","Updated rules applied."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
Rule,Rule
Start,Start
End,End
"Web Site","Web Site"
