Home,Home,module,Magento_CatalogSearch
"Go to Home Page","Go to Home Page",module,Magento_CatalogSearch
"Catalog Advanced Search","Catalog Advanced Search",module,Magento_CatalogSearch
All,All,module,Magento_CatalogSearch
Yes,Yes,module,Magento_CatalogSearch
No,No,module,Magento_CatalogSearch
Results,Results,module,Magento_CatalogSearch
Grid,Grid,module,Magento_CatalogSearch
List,List,module,Magento_CatalogSearch
"Search Weight","Search Weight",module,Magento_CatalogSearch
Relevance,Relevance,module,Magento_CatalogSearch
"Search results for: '%1'","Search results for: '%1'",module,Magento_CatalogSearch
"Minimum Search query length is %1","Minimum Search query length is %1",module,Magento_CatalogSearch
"Please specify at least one search term.","Please specify at least one search term.",module,Magento_CatalogSearch
"%1 and greater","%1 and greater",module,Magento_CatalogSearch
"up to %1","up to %1",module,Magento_CatalogSearch
Category,Category,module,Magento_CatalogSearch
"%1 and above","%1 and above",module,Magento_CatalogSearch
"%1 - %2","%1 - %2",module,Magento_CatalogSearch
"Bucket do not exists","Bucket do not exists",module,Magento_CatalogSearch
Product,Product,module,Magento_CatalogSearch
"Search Settings","Search Settings",module,Magento_CatalogSearch
Search,Search,module,Magento_CatalogSearch
"Advanced Search","Advanced Search",module,Magento_CatalogSearch
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria",module,Magento_CatalogSearch
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria",module,Magento_CatalogSearch
"We can\'t find any items matching these search criteria.","We can\'t find any items matching these search criteria.",module,Magento_CatalogSearch
"Modify your search","Modify your search",module,Magento_CatalogSearch
name,name,module,Magento_CatalogSearch
"Don't see what you're looking for?","Don't see what you're looking for?",module,Magento_CatalogSearch
"Your search returned no results.","Your search returned no results.",module,Magento_CatalogSearch
"Popular Search Terms","Popular Search Terms",module,Magento_CatalogSearch
"Catalog Search","Catalog Search",module,Magento_CatalogSearch
"Minimal Query Length","Minimal Query Length",module,Magento_CatalogSearch
"Maximum Query Length","Maximum Query Length",module,Magento_CatalogSearch
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index",module,Magento_CatalogSearch
