"Static Blocks","Статик блок"
"Add New Block","Шинэ блок нэмэх"
"Save Block","Блок хадгалах"
"Delete Block","Блок устгах"
"Save and Continue Edit","Хадгалах ба үргэлжлүүлэн өөрчилөх"
"Edit Block '%1'","Блок '%1' өөрчилөх"
"New Block","Шинэ блок"
"Block Information","Блок мэдээлэл"
"General Information","Ерөнхий мэдээлэл"
"Block Title","Блок гарчиг"
Identifier,Тодорхойлогч
"Store View","Дэлгүүрийн харагдац"
Status,Статус
Enabled,Идэвхитэй
Disabled,Идэвхигүй
Content,Агуулга
ID,ID
Title,Гарчиг
"Manage Pages","Хуудсуудыг удирдах"
"Add New Page","Шинэ хуудас нэмэх"
"Save Page","Хуудас хадгалах"
"Delete Page","Хуудас устгах"
"Edit Page '%1'","Хуудас '%1' өөрчилөх"
"New Page","Шинэ хуудас"
"Content Heading","Агуулгын толгой"
"Page Layout","Хуудас зохиомж"
Layout,Зохиомж
"Layout Update XML","Зохиомж өөрчилөх XML"
"Custom Design","Хэрэглэгчийн дизайн"
"Custom Design From","Хэрэглэгчийн дизайн хэзээнээс"
"Custom Design To","Хэрэглэгчийн дизайн хүртэл"
"-- Please Select --","-- Сонголт хийнэ үү --"
"Custom Theme","Хэрэглэгчийн загвар"
"Custom Layout","Хэрэглэгчийн зохиомж"
"Custom Layout Update XML","Хэрэглэгчийн зохиомж өөрчилөх XML"
Design,Дизайн
"Page Information","Хуудасны мэдээлэл"
"Page Title","Хуудасны гарчиг"
"URL Key","URL түлхүүр"
"Relative to Web Site Base URL","Вэбсайтын үндсэн URL тай релатив"
"Page Status","Хуудасны статус"
"Meta Data","Мета өгөгдөл"
Keywords,Түлхүүр үгнүүд
"Meta Keywords","Мета түлх үгнүүд"
Description,Тодорхойлолт
"Meta Description","Мета тодорхойлолт"
Created,Үүсгэгдсэн
Modified,Өөрчлөгдсөн
Action,Үйлдэл
Preview,"Урьдчилан харах"
"Media Storage","Медиа хадгалалт"
"Create Folder...","Хавтас нээх..."
"Delete Folder","Хавтас устгах"
"Delete File","Файл устгах"
"Insert File","Файл оруулах"
"New Folder Name:","Шинэ хавтасны нэр:"
"Are you sure you want to delete this folder?","Энэ хавтасыг устгахдаа та итгэлтэй байна уу?"
"Are you sure you want to delete this file?","Энэ файлыг устгахдаа та итгэлтэй байна уу?"
"Images (%1)","Зургууд (%1)"
"Storage Root","Хадгалалтын рүүт"
Home,Эхлэл
"Go to Home Page","Нүүр хуудас руу очих"
CMS,CMS
"You deleted the block.","Та блок устгасан байна."
"We can\'t find a block to delete.","Устгах блок олсонгүй."
"This block no longer exists.","Энэ блок байхгүй болсон байна."
"Edit Block","Блок өөрчилөх"
Blocks,Блокууд
"Please correct the data sent.","Илгээгдсэн өгөгдлийг зөв болгоно уу."
"A total of %1 record(s) have been deleted.","Нийт %1 бичлэг(үүд) устгагдсан."
"You saved the block.","Та блокыг хадгалсан."
"The page has been deleted.","Хуудас устгагдсан."
"We can\'t find a page to delete.","Устгах хуудас олдсонгүй."
"This page no longer exists.","Энэ хуудас байхгүй байна."
"Edit Page","Хуудас засах"
Pages,Хуудсууд
"Something went wrong while saving the page.","Хуудсыг хадгалж байхад ямар нэг алдаа гарлаа."
"A total of %1 record(s) have been disabled.","Нийт %1 бичлэг(үүд) устгагдлаа."
"A total of %1 record(s) have been enabled.","Нийт %1 бичлэг(үүд) идэвхижүүлэгдлээ."
"To apply changes you should fill in hidden required ""%1"" field","Өөрчилүүлтүүдийг нэмэхийн тулд шаардлагатай нууцлагдсан ""%1"" талбарыг бөглөнүү"
"You saved this page.","Энэ хуудсыг хадгалсан."
"The directory %1 is not writable by server.","Хавтас %1 серверээр бичигдэж болохгүй байна."
