"Add configurable attributes to the current Attribute Set (""%1"")","Add configurable attributes to the current Attribute Set (""%1"")",module,Magento_ConfigurableProduct
"Add configurable attributes to the new Attribute Set based on current","Add configurable attributes to the new Attribute Set based on current",module,Magento_ConfigurableProduct
"New attribute set name","New attribute set name",module,Magento_ConfigurableProduct
"Add configurable attributes to the existing Attribute Set","Add configurable attributes to the existing Attribute Set",module,Magento_ConfigurableProduct
"Choose existing Attribute Set","Choose existing Attribute Set",module,Magento_ConfigurableProduct
Configurations,Configurations,module,Magento_ConfigurableProduct
"Attribute Values","Attribute Values",module,Magento_ConfigurableProduct
"productFactory is already set","productFactory is already set",module,Magento_ConfigurableProduct
"catalogProductMediaConfig is already set","catalogProductMediaConfig is already set",module,Magento_ConfigurableProduct
"Bulk Images &amp; Price","Bulk Images &amp; Price",module,Magento_ConfigurableProduct
"Create New Attribute","Create New Attribute",module,Magento_ConfigurableProduct
"Select Attributes","Select Attributes",module,Magento_ConfigurableProduct
Summary,Summary,module,Magento_ConfigurableProduct
"Choose an Option...","Choose an Option...",module,Magento_ConfigurableProduct
"This attribute is used in configurable products.","This attribute is used in configurable products.",module,Magento_ConfigurableProduct
"Product has been already attached","Product has been already attached",module,Magento_ConfigurableProduct
"Product with specified sku: %1 is not a configurable product","Product with specified sku: %1 is not a configurable product",module,Magento_ConfigurableProduct
"Requested option doesn\'t exist","Requested option doesn\'t exist",module,Magento_ConfigurableProduct
"Requested option doesn\'t exist: %1","Requested option doesn\'t exist: %1",module,Magento_ConfigurableProduct
"Cannot delete variations from product: %1","Cannot delete variations from product: %1",module,Magento_ConfigurableProduct
"Cannot delete option with id: %1","Cannot delete option with id: %1",module,Magento_ConfigurableProduct
"Option with id ""%1"" not found","Option with id ""%1"" not found",module,Magento_ConfigurableProduct
"Could not update option with id ""%1""","Could not update option with id ""%1""",module,Magento_ConfigurableProduct
"Product already has this option","Product already has this option",module,Magento_ConfigurableProduct
"Something went wrong while saving option.","Something went wrong while saving option.",module,Magento_ConfigurableProduct
"Only implemented for configurable product: %1","Only implemented for configurable product: %1",module,Magento_ConfigurableProduct
"Option attribute ID is not specified.","Option attribute ID is not specified.",module,Magento_ConfigurableProduct
"Option label is not specified.","Option label is not specified.",module,Magento_ConfigurableProduct
"Option values are not specified.","Option values are not specified.",module,Magento_ConfigurableProduct
"Value index is not specified for an option.","Value index is not specified for an option.",module,Magento_ConfigurableProduct
"The configurable product does not have any variation attribute.","The configurable product does not have any variation attribute.",module,Magento_ConfigurableProduct
"Product with id ""%1"" does not exist.","Product with id ""%1"" does not exist.",module,Magento_ConfigurableProduct
