"Sign Out","Гарах"
"Sign In","Нэвтрэх"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don\'t subscribe to our newsletter.","You don\'t subscribe to our newsletter."
"You have not set a default shipping address.","Танд стандарт хүргэлтийн хаяг байхгүй байна."
"You have not set a default billing address.","Танд стандарт нэхэмжлэлийн хаяг байхгүй байна."
"Address Book","Хаягын ном"
"Edit Address","Хаяг өөрчлөх"
"Add New Address","Add New Address"
region,region
"Create Order","Create Order"
"Save Customer","Save Customer"
"Delete Customer","Delete Customer"
"Reset Password","Reset Password"
"Are you sure you want to revoke the customer\'s tokens?","Are you sure you want to revoke the customer\'s tokens?"
"Force Sign-In","Force Sign-In"
"New Customer","New Customer"
"Save and Continue Edit","Save and Continue Edit"
Back,Back
"Please select","Please select"
Reset,Reset
ID,ID
Product,Product
SKU,SKU
Quantity,Quantity
Price,Price
Total,Total
Action,Action
Configure,Configure
Delete,Delete
"Shopping Cart from %1","Shopping Cart from %1"
Newsletter,Newsletter
"Newsletter Information","Newsletter Information"
"Subscribed to Newsletter","Subscribed to Newsletter"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"No Newsletter Found","No Newsletter Found"
"Start date","Start date"
"End Date","End Date"
"Receive Date","Receive Date"
Subject,Гарчиг
Status,Статус
Sent,Илгээсэн
Cancel,Cancel
"Not Sent","Not Sent"
Sending,Sending
Paused,Paused
View,View
Unknown,Unknown
Order,Order
Purchased,Purchased
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Order Total","Order Total"
"Purchase Point","Purchase Point"
"Customer View","Customer View"
"There are no items in customer\'s shopping cart.","There are no items in customer\'s shopping cart."
Qty,Qty
Confirmed,Confirmed
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
Indeterminate,Indeterminate
"The customer does not have default billing address.","The customer does not have default billing address."
Offline,Offline
Online,Online
Never,Never
"Deleted Stores","Deleted Stores"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
No,No
Yes,Yes
"Delete File","Delete File"
Download,Download
"Delete Image","Delete Image"
"View Full Size","View Full Size"
"All countries","All countries"
"Customer Groups","Customer Groups"
"Add New Customer Group","Add New Customer Group"
"Save Customer Group","Save Customer Group"
"Delete Customer Group","Delete Customer Group"
"New Customer Group","New Customer Group"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Group Information"
"Group Name","Group Name"
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Tax Class","Tax Class"
"The customer is now assigned to Customer Group %s.","The customer is now assigned to Customer Group %s."
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"The VAT ID is valid.","The VAT ID is valid."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The VAT ID is valid but no Customer Group is assigned for it.","The VAT ID is valid but no Customer Group is assigned for it."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Based on the VAT ID, the customer belongs to the Customer Group %s."
"Something went wrong while validating the VAT ID.","Something went wrong while validating the VAT ID."
"The customer would belong to Customer Group %s.","The customer would belong to Customer Group %s."
"There was an error detecting Customer Group.","There was an error detecting Customer Group."
"Validate VAT Number","Validate VAT Number"
"Customer Login","Хэрэглэгч нэвтрэх"
"Create New Customer Account","Шинэ данс үүсгэх"
"Date of Birth","Date of Birth"
"Bad request.","Bad request."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","Thank you for registering with %1."
"Please check your email for confirmation key.","Please check your email for confirmation key."
"This email does not require confirmation.","This email does not require confirmation."
"Wrong email.","Wrong email."
"Your password reset link has expired.","Your password reset link has expired."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"We can\'t save the customer.","We can\'t save the customer."
"Please make sure your passwords match.","Please make sure your passwords match."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"Account Information","Account Information"
"Invalid input","Invalid input"
"You saved the account information.","You saved the account information."
"Please enter new password.","Please enter new password."
"Confirm your new password.","Confirm your new password."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please correct the email address.","Please correct the email address."
"We\'re unable to send the password reset email.","We\'re unable to send the password reset email."
"Please enter your email.","Please enter your email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"My Account","Миний данс"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","Invalid login or password."
"A login and a password are required.","A login and a password are required."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"Please enter a new password.","Please enter a new password."
"You updated your password.","You updated your password."
"Something went wrong while saving the new password.","Something went wrong while saving the new password."
"You deleted the address.","You deleted the address."
"We can\'t delete the address right now.","We can\'t delete the address right now."
"You saved the address.","You saved the address."
"We can\'t save the address.","We can\'t save the address."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
