"Grouped Products","Бүлэглэгдсэн бүтээгдэхүүнүүд"
"Please specify the quantity of product(s).","Бүтээгдэхүүн(үүд)-ийн тоог тогтооно уу."
"Cannot process the item.","Артиклийг боловсруулж чадахгүй."
"Associated Products","Холбоотой бүтээгдэхүүнүүд"
Availability:,Боломжтой:
"Out of stock","Агуулахад байхгүй"
ID,ID
SKU,Бүтээгдэхүүний таних дугаар
"Product Name","Бүтээгдэхүүний нэр"
Price,Үнэ
Qty,Тоо
"No options of this product are available.","Бүтээгдэхүүний сонголтууд боломжгүй байна."
"There are no grouped products.","Энд бүлэглэгдсэн бүтээгдэхүүнүүд байхгүй."
Name,Нэр
"Default Qty","Стагдарт тоо"
"Starting at","Эхлэх"
Availability,Боломжтой
"In stock","Агуулахад байна"
"Grouped product items","Бүлэглэгдсэн бүтээгдэхүүнүүдийн артиклиуд"
"Add Products to Group","Бүтээгдэхүүнийг бүлэг рүү нэмэх"
"Add Selected Products","Сонгосон бүтээгдэхүүнүүдийг нэмэх"
"Grouped Product Image","Бүлэглэгдсэн бүтээгдэхүүний зураг"
