Export,Export,module,Magento_ImportExport
"Export Settings","Export Settings",module,Magento_ImportExport
"Entity Type","Entity Type",module,Magento_ImportExport
"Export File Format","Export File Format",module,Magento_ImportExport
From,From,module,Magento_ImportExport
To,To,module,Magento_ImportExport
"We can\'t filter an attribute with no attribute options.","We can\'t filter an attribute with no attribute options.",module,Magento_ImportExport
Exclude,Exclude,module,Magento_ImportExport
"Attribute Label","Attribute Label",module,Magento_ImportExport
"Attribute Code","Attribute Code",module,Magento_ImportExport
Filter,Filter,module,Magento_ImportExport
"Unknown attribute filter type","Unknown attribute filter type",module,Magento_ImportExport
Download,Download,module,Magento_ImportExport
"Check Data","Check Data",module,Magento_ImportExport
Import,Import,module,Magento_ImportExport
"Import Settings","Import Settings",module,Magento_ImportExport
"Import Behavior","Import Behavior",module,Magento_ImportExport
" "," ",module,Magento_ImportExport
"Allowed Errors Count","Allowed Errors Count",module,Magento_ImportExport
"Please specify number of errors to halt import process","Please specify number of errors to halt import process",module,Magento_ImportExport
"Field separator","Field separator",module,Magento_ImportExport
"Multiple value separator","Multiple value separator",module,Magento_ImportExport
"File to Import","File to Import",module,Magento_ImportExport
"Select File to Import","Select File to Import",module,Magento_ImportExport
"Images File Directory","Images File Directory",module,Magento_ImportExport
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir",module,Magento_ImportExport
"Download Sample File","Download Sample File",module,Magento_ImportExport
"Please correct the data sent value.","Please correct the data sent value.",module,Magento_ImportExport
Import/Export,Import/Export,module,Magento_ImportExport
History,History,module,Magento_ImportExport
"Import History","Import History",module,Magento_ImportExport
"Import history","Import history",module,Magento_ImportExport
"There is no sample file for this entity.","There is no sample file for this entity.",module,Magento_ImportExport
Status,Status,module,Magento_ImportExport
"Maximum error count has been reached or system error is occurred!","Maximum error count has been reached or system error is occurred!",module,Magento_ImportExport
"Import successfully done","Import successfully done",module,Magento_ImportExport
"This file is empty. Please try another one.","This file is empty. Please try another one.",module,Magento_ImportExport
"Data validation is failed. Please fix errors and re-upload the file..","Data validation is failed. Please fix errors and re-upload the file..",module,Magento_ImportExport
"File is valid! To start import process press ""Import"" button","File is valid! To start import process press ""Import"" button",module,Magento_ImportExport
"The file is valid, but we can\'t import it for some reason.","The file is valid, but we can\'t import it for some reason.",module,Magento_ImportExport
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4",module,Magento_ImportExport
"The file was not uploaded.","The file was not uploaded.",module,Magento_ImportExport
"Sorry, but the data is invalid or the file is not uploaded.","Sorry, but the data is invalid or the file is not uploaded.",module,Magento_ImportExport
"Show more","Show more",module,Magento_ImportExport
"Additional data","Additional data",module,Magento_ImportExport
"Following Error(s) has been occurred during importing process:","Following Error(s) has been occurred during importing process:",module,Magento_ImportExport
"Only first 100 errors are displayed here. ","Only first 100 errors are displayed here. ",module,Magento_ImportExport
"Download full report","Download full report",module,Magento_ImportExport
"in rows:","in rows:",module,Magento_ImportExport
"Make sure your file isn\'t more than %1M.","Make sure your file isn\'t more than %1M.",module,Magento_ImportExport
