"Filterable (with results)","Шүүж болох (үр дүнгүүдтэй)"
"Filterable (no results)","Шүүж болох (үр дүнгүүдгүй)"
No,Үгүй
"Use in Layered Navigation","Шүүгддэг навигацид хэрэглэх"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Каталогийн оролтын төрөл дропдаун, олон сонголт болон үнэ зэрэгт хэрэглэгдэж болно"
"Use in Search Results Layered Navigation","Шүүгддэг навигацийн хайлтын үр дүнд хэрэглэх"
Position,Байрлал
"Position in Layered Navigation","Шүүгддэг навигаци дахь байрлал"
"Position of attribute in layered navigation block","Шүүгддэг навигацийн блок дээрхи аттрибутын байрлал"
item,артикль
items,артиклиуд
"Now Shopping by","Худалдан авах аар"
Previous,Өмнөх
Remove,Арилгах
"Remove This Item","Энэ артиклийг хасах"
"Shop By","Худалдан авах аар"
"Clear All","Бүгдийг цэвэрлэх"
"Shopping Options","Худалдааны сонголтууд"
"Layered Navigation","Шүүгддэг навигаци"
"Display Product Count","Бүтээгдэхүүний тоог харуулах"
"Price Navigation Step Calculation","үнийн навигаци алхам тооцоолох"
"Default Price Navigation Step","Стандарт үнийн навигаци алхам"
"Maximum Number of Price Intervals","Үнийн интервалын хамгийн их тоо"
"Maximum number of price intervals is 100","Үнийн интервалын хамгийн их тоо бол 100"
"Display Price Interval as One Price","Үнийн интервалыг нэг үнэ шиг харагдуулах"
"This setting will be applied when all prices in the specific price interval are equal.","Тусгай үнийн интервалын бүх үнэ ижил байвал энэ тохируулга нэмэгдэх болно."
"Interval Division Limit","Интервал хуваах хязгаар"
"Please specify the number of products, that will not be divided into subintervals.","Дэд интервалд хуваагдахгүй бүтээгдэхүүнүүдийн дугаарыг тодорхойлно уу."
