"To see product price, add this item to your cart. You can always remove it later.","Үнийг харахын тулд энэ артиклийг сагсанд хийнэ үү. Та дараа нь дуртай үедээ хасч болно."
"See price before order confirmation.","Захиалга батлахын өмнө үнийг харах."
"On Gesture","Дохион дээр"
"In Cart","Сагсанд"
"Before Order Confirmation","Захиалга батлахын өмнө"
"Use config","Тохиргоо хэрэглэх"
"Click for price","Үнийн тулд дарна уу"
"What's this?","Энэ юу вэ?"
"Order total will be displayed before you submit the order","Захиалгын нийт дүн таныг захиалга оруулахаас өмнө харагдана"
"You will see the order total before you submit the order.","Та захиалга хийхийнхээ өмнө захиалгын нийт дүнг харах болно."
Price,Үнэ
"Actual Price","Одоогийн үнэ"
"Add to Cart","Сагсанд нэмэх"
"Minimum Advertised Price","Хамгийн бага сурталчилсан үнэ"
"Enable MAP","MAP идэвхижүүлэх"
"Display Actual Price","Одоогийн үнийг харуулах"
"Default Popup Text Message","Стандарт гарч харагдах текст зурвас"
"Default ""What's This"" Text Message","Стандарт ""Энэ юу вэ"" текст зурвас"
