Apply,Нэмэх
"Please choose a valid discount amount.","Хүчинтэй хямдралын дүн сонгоно уу."
"End Date must follow Start Date.","Дуусах өдөр эхлэх өдрөөс хойш байх ёстой."
"Please specify a website.","Вэбсайтыг тогтооно уу."
"Please specify Customer Groups.","Хэрэглэгчийн бүлгийг тогтоох."
to,хааш
by,аар
"Please choose an action to add.","Нэмэхийн тулд үйлдэл сонгоно уу."
"Perform following actions","Дараах үйлдлүүдийг гүйцэтгэ"
is,бол
"is not","биш"
"equals or greater than","тэнцүү эсвэл их"
"equals or less than","тэнцүү эсвэл бага"
"greater than","их"
"less than","бага"
contains,агуулдаг
"does not contain","агуулаагүй"
"is one of","нэг"
"is not one of","эдгээрийн нэг"
"Please choose a condition to add.","Нэмэх нөхцөлийг сонгоно уу."
Add,Нэмэх
Remove,Хасах
ALL,БҮГД
ANY,АЛЬ НЭГ
TRUE,ҮНЭН
FALSE,ХУДАЛ
"If %1 of these conditions are %2:","Хэрэв %1 эдгээр нөхцөлүүдийн нэг бол %2:"
"Conditions хослуулах","Нөхцөлүүдийг "
"Attribute Set","Аттрибут бүрдэл"
Category,Категори
"Open Chooser","Сонгогч нээх"
"Unknown condition operator","Нөхцөлийн зарлагдаагүй оператор"
"There is no information about associated entity type ""%1"".","Холбогдсон энтити төрөл ""%1"" талаар мэдээлэл алга."
"This won\'t take long . . .","Энэ удаан үргэлжлэхгүй . . ."
