"Cart Price Rules","Cart Price Rules",module,Magento_SalesRule
"Add New Rule","Add New Rule",module,Magento_SalesRule
"Save and Continue Edit","Save and Continue Edit",module,Magento_SalesRule
"Edit Rule '%1'","Edit Rule '%1'",module,Magento_SalesRule
"New Rule","New Rule",module,Magento_SalesRule
"Rule Information","Rule Information",module,Magento_SalesRule
Actions,Actions,module,Magento_SalesRule
"Pricing Structure Rules","Pricing Structure Rules",module,Magento_SalesRule
Apply,Apply,module,Magento_SalesRule
"Percent of product price discount","Percent of product price discount",module,Magento_SalesRule
"Fixed amount discount","Fixed amount discount",module,Magento_SalesRule
"Fixed amount discount for whole cart","Fixed amount discount for whole cart",module,Magento_SalesRule
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)",module,Magento_SalesRule
"Discount Amount","Discount Amount",module,Magento_SalesRule
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To",module,Magento_SalesRule
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)",module,Magento_SalesRule
"Apply to Shipping Amount","Apply to Shipping Amount",module,Magento_SalesRule
"Discard subsequent rules","Discard subsequent rules",module,Magento_SalesRule
Yes,Yes,module,Magento_SalesRule
No,No,module,Magento_SalesRule
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Apply the rule only to cart items matching the following conditions (leave blank for all items).",module,Magento_SalesRule
"Apply To","Apply To",module,Magento_SalesRule
Conditions,Conditions,module,Magento_SalesRule
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products).",module,Magento_SalesRule
"Manage Coupon Codes","Manage Coupon Codes",module,Magento_SalesRule
"Coupons Information","Coupons Information",module,Magento_SalesRule
"Coupon Qty","Coupon Qty",module,Magento_SalesRule
"Code Length","Code Length",module,Magento_SalesRule
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators.",module,Magento_SalesRule
"Code Format","Code Format",module,Magento_SalesRule
"Code Prefix","Code Prefix",module,Magento_SalesRule
"Code Suffix","Code Suffix",module,Magento_SalesRule
"Dash Every X Characters","Dash Every X Characters",module,Magento_SalesRule
"If empty no separation.","If empty no separation.",module,Magento_SalesRule
Generate,Generate,module,Magento_SalesRule
"Coupon Code","Coupon Code",module,Magento_SalesRule
Created,Created,module,Magento_SalesRule
Uses,Uses,module,Magento_SalesRule
"Times Used","Times Used",module,Magento_SalesRule
CSV,CSV,module,Magento_SalesRule
"Excel XML","Excel XML",module,Magento_SalesRule
Delete,Delete,module,Magento_SalesRule
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?",module,Magento_SalesRule
Labels,Labels,module,Magento_SalesRule
"Default Label","Default Label",module,Magento_SalesRule
"Default Rule Label for All Store Views","Default Rule Label for All Store Views",module,Magento_SalesRule
"Store View Specific Labels","Store View Specific Labels",module,Magento_SalesRule
"General Information","General Information",module,Magento_SalesRule
"Rule Name","Rule Name",module,Magento_SalesRule
Description,Description,module,Magento_SalesRule
Status,Status,module,Magento_SalesRule
Active,Active,module,Magento_SalesRule
Inactive,Inactive,module,Magento_SalesRule
Websites,Websites,module,Magento_SalesRule
"Customer Groups","Customer Groups",module,Magento_SalesRule
Coupon,Coupon,module,Magento_SalesRule
"Use Auto Generation","Use Auto Generation",module,Magento_SalesRule
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes.",module,Magento_SalesRule
"Uses per Coupon","Uses per Coupon",module,Magento_SalesRule
"Uses per Customer","Uses per Customer",module,Magento_SalesRule
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only.",module,Magento_SalesRule
From,From,module,Magento_SalesRule
To,To,module,Magento_SalesRule
Priority,Priority,module,Magento_SalesRule
"Public In RSS Feed","Public In RSS Feed",module,Magento_SalesRule
"Cart Price Rule","Cart Price Rule",module,Magento_SalesRule
ID,ID,module,Magento_SalesRule
Rule,Rule,module,Magento_SalesRule
Start,Start,module,Magento_SalesRule
End,End,module,Magento_SalesRule
"%1 - Discounts and Coupons","%1 - Discounts and Coupons",module,Magento_SalesRule
Coupons/Discounts,Coupons/Discounts,module,Magento_SalesRule
Promotions,Promotions,module,Magento_SalesRule
"You deleted the rule.","You deleted the rule.",module,Magento_SalesRule
"We can\'t delete the rule right now. Please review the log and try again.","We can\'t delete the rule right now. Please review the log and try again.",module,Magento_SalesRule
"We can\'t find a rule to delete.","We can\'t find a rule to delete.",module,Magento_SalesRule
"This rule no longer exists.","This rule no longer exists.",module,Magento_SalesRule
"Edit Rule","Edit Rule",module,Magento_SalesRule
"New Cart Price Rule","New Cart Price Rule",module,Magento_SalesRule
"Rule is not defined","Rule is not defined",module,Magento_SalesRule
