"Search Term","Хайх утга"
Results,"Үр дүн"
Uses,Хэрэглээ
"Search Terms","Хайлтын утгууд"
Search,Хайлт
"Add New Search Term","Шинэ хайлтын утга нэмэх"
"Save Search","Хайлт хадгалах"
"Delete Search","Хайлт устгах"
"Edit Search '%1'","Хайлт засварлах '%1'"
"New Search","Шинэ хайлт"
"Search Information","Хайлын мэдээлэл"
"General Information","Ерөнхий мэдээлэл"
No,Үгүй
Yes,Тийм
"Search Query","Хайлтын хүсэлт"
Store,Дэлгүүр
"Number of results","Үр дүнгийн тоо"
"Number of results (For the last time placed)","Үр дүнгийн тоо (хамгийн сүүлд орсон)"
"For the last time placed.","Хамгийн сүүлд орсон."
"Number of Uses","Хэрэглэсэн тоо"
"Synonym For","Адилхан утгатай"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Redirect URL","Redirect URL"
"ex. http://domain.com","ex. http://domain.com"
"Display in Suggested Terms","Display in Suggested Terms"
"You deleted the search.","You deleted the search."
"We can\'t find a search term to delete.","We can\'t find a search term to delete."
"This search no longer exists.","This search no longer exists."
"Edit Search","Edit Search"
"Please select searches.","Please select searches."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
Reports,Reports
"Search Terms Report","Search Terms Report"
"You saved the search term.","You saved the search term."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You already have an identical search term query.","You already have an identical search term query."
"Your search query can\'t be longer than %1, so we shortened your query.","Your search query can\'t be longer than %1, so we shortened your query."
"Search entire store here...","Дэлгүүрээс хайх..."
"There are no search terms available.","There are no search terms available."
"Search Engine","Search Engine"
CSV,CSV
"Excel XML","Excel XML"
ID,ID
Hits,Hits
Delete,Delete
"Are you sure?","Are you sure?"
Synonym,Synonym
"Suggested Terms","Suggested Terms"
yes,yes
no,no
Action,Action
Edit,Edit
