"Invalid store parameter.","Дэлгүүрийн буруу параметр.",module,Magento_Store
"Current store is not active.","Одоогийн дэлгүүр идэвхитэй биш.",module,Magento_Store
"Requested store is inactive","Хүссэн дэлгүүр идэвхигүй байна",module,Magento_Store
"Requested store is not found","Хүссэн дэлгүүр олдсонгүй",module,Magento_Store
"Environment emulation nesting is not allowed.","Орчины эмуляцийн бүлэглэл зөвшөөрөгдөөгүй.",module,Magento_Store
"Only default scope allowed","Зөвхөн стандарт хүрээ зөвшөөрөгдсөн",module,Magento_Store
"Invalid scope object","Буруу хүрээний объект",module,Magento_Store
"Store with the same code","Ижилхэн кодтой дэлгүүр",module,Magento_Store
"Website with the same code","Ижилхэн кодтой вэбсайт",module,Magento_Store
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Вэбсайт код зөвхөн үсэг (a-z), тоо (0-9) эсвэл доогуур зураас (_) агуулах бөгөөгд үсгээр эхлэх ёстой.",module,Magento_Store
"Name is required","Нэр шаардлагатай",module,Magento_Store
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Дэлгүүрийн код зөвхөн үсэг (a-z), тоо (0-9) эсвэл доогуур зураас (_) агуулах бөгөөгд үсгээр эхлэх ёстой.",module,Magento_Store
"Store is inactive","Дэлгүүр идэвхигүй байна",module,Magento_Store
"Default store is inactive","Стандарт дэлгүүр идэвхигүй",module,Magento_Store
"All Store Views","Бүх дэлгүүрийн харагдацууд",module,Magento_Store
"-- Please Select --","-- Сонгоно хийнэ үү --",module,Magento_Store
Admin,Админ,module,Magento_Store
"More than one default website is defined","Нэгээс илүү стандарт вэбсайт зарлагдсан байна",module,Magento_Store
"Default website is not defined","Стандарт вэбсайт зарлагдаагүй байна",module,Magento_Store
"Your Language:","Таны хэл:",module,Magento_Store
"Your Language","Таны хэл",module,Magento_Store
Language,Хэл,module,Magento_Store
"Select Store","Дэлгүүр сонгох",module,Magento_Store
Configuration,Тохиргоо,module,Magento_Store
"Various XML configurations that were collected across modules and merged.","Олон янзын XML тохируулгууд модиулиудаас цугуулагдаж нэгтгэгдсэн.",module,Magento_Store
Layouts,Лэйаут,module,Magento_Store
"Layout building instructions.","Лэйаут бүтээх заавар.",module,Magento_Store
"Blocks HTML output","Блокын HTML гаралт",module,Magento_Store
"Page blocks HTML.","Хуудасны блокын HTML.",module,Magento_Store
"Collections Data","Өгөгдлийн цуглуулга",module,Magento_Store
"Collection data files.","Өгөгдлийн цуглуулгын файл",module,Magento_Store
"Reflection Data","Рефлэкшн өгөгдөл",module,Magento_Store
"API interfaces reflection data.","API интерфэйс рефлэкшн өгөгдөл.",module,Magento_Store
"Database DDL operations","Өгөгдлийн сангийн DDL үйлдлүүд",module,Magento_Store
"Results of DDL queries, such as describing tables or indexes.","Тодорхойлогч тэйблүүд болон индекс шиг DDL күэригийн үр дүн",module,Magento_Store
