Code,Код
Country,Улс
State,Аймаг/Дүүрэг
"Zip/Post Code","Шуудангийн индекс код"
Rate,Хэмжээ
"Zip/Post is Range","Шуудангийн индекс бол холын зай"
"Range From","Зай хаанаас"
"Range To","Зай хаашаа"
"Tax Zones and Rates","Татвар бүс болон хэмжээ"
"Import and Export Tax Rates","Импорт болон экспорт төтварын хэмжээ"
"The tax rate has been imported.","Татварын хэмжээ импортлогдсон."
"Invalid file upload attempt","Хүчингүй файл оруулсан байна"
"Invalid file upload attempt.","Хүчингүй файл оруулсан байна."
"Invalid file format.","Хүчингүй файлын формат."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Татварын хэмжээнүүдийг импортлох"
"Export Tax Rates","Татварын хэмжээнүүдийг экспортлох"
CSV,CSV
"Excel XML","Excel XML"
