"Custom Variables","Хэрэглэгчийн хувьсагч"
"Add New Variable","Шинэ хувьсагч нэмэх"
"Save and Continue Edit","Хадгалах болон Өөрчлөлтийг үргэлжлүүлэх"
"Custom Variable ""%1""","Хэрэглэгчийн хувьсагч ""%1"""
"New Custom Variable","Шинэ хэрэглэгчийн хувьсагч"
Variable,Хувьсагч
"Variable Code","Хувьсагчийн код"
"Variable Name","Хувьсагчийн нэр"
"Use Default Variable Values","Хувьсагчийн стандарт утгуудыг хэрэглэх"
No,Үгүй
Yes,Тийм
"Variable HTML Value","Хувьсагч HTML утга"
"Variable Plain Value","Хувьсагч Энгийн утга"
"You deleted the custom variable.","Та хэрэглэгчийн хувьсагчийг устгасан."
"You saved the custom variable.","Та хэрэглэгчийн хувьсагчийг хадгалсан."
"Variable Code must be цор ганц байх ёстой.","Хувьсагчийн код ."
"Validation has failed.","Баталгаа бүтсэнгүй."
%1,%1
"Insert Variable...","Хувьсагч оруулна уу..."
"Variable ID","Хувьсагч ID"
Name,Нэр
