"Operation allowed only in HTTPS","Уг үйлдэл нь зөвхөн HTTPS-д зөвшөөрөгдсөн"
"Cannot perform GET operation with store code \'all\'","\'all\' дэлгүүрийн кодтой GET үйлдлийг гүйцэтгэх боломжгүй байна."
"Request does not match any route.","Хүсэлт ямар ч route-тэй таарахгүй байна."
"Authentication header format is invalid.","Authentication header-н хэлбэр буруу байна."
"Authentication header is absent.","Authentication header байхгүй байна."
"Not allowed parameters: %1. Please use only %2 and %3.","Зөвшөөрөгдөөгүй параметрүүд: %1. Зөвхөн %2 болон %3-г ашиглана уу."
"Requested service is not available: ""%1""","Шаардсан үйлчилгээ боломжгүй байна: ""%1"""
"Operation ""%1"" not found.","""%1"" үйлдэл олдсонгүй."
"SOAP extension is not loaded.","SOAP өргөтгөл ачаалагдаагүй байна."
"Invalid XML","Хүчингүй XML"
"Invalid XML: Detected use of illegal DOCTYPE","Хүчингүй XML: DOCTYPE-н буруу хэрэглээ илэрсэн"
message,зурвас
Message,Зурвас
"Magento Web API","Magento Веб API"
"SOAP Settings","SOAP Тохируулга"
"Default Response Charset","Response-н өгөгдмөл Charset"
"If empty, UTF-8 will be used.","Хоосон үед UTF-8 ашиглагдана."
"Web Services Configuration","Веб Сервисийн Тохируулга"
"REST and SOAP configurations, generated WSDL file.","REST болон SOAP тохируулгууд, үүсгэсэн WSDL файл."
